title,year,budget_raw,box_office_raw,image,budget_millionUSD,box_office_millionUSD,title_clean,log_budget,log_box_office
Deadpool 2,2018,$110 million,"$785,896,609",images\2018_Deadpool_2.jpg,110.0,785.896609,Deadpool 2,4.709530201312334,6.668096866216619
Fantastic Beasts: The Crimes of Grindelwald,2018,$200 million,"$654,855,901",images\2018_Fantastic_Beasts:_The_Crimes_of_Grindelwald.jpg,200.0,654.855901,Fantastic Beasts: The Crimes of Grindelwald,5.303304908059076,6.485941101704858
Avengers: Endgame,2019,$356-400 million,"$2,799,439,100",images\2019_Avengers:_Endgame.jpg,356.0,2799.4391,Avengers: Endgame,5.877735781779639,7.937531505296672
The Lion King,2019,$250-260 million,"$1,656,943,394",images\2019_The_Lion_King.jpg,250.0,1656.943394,The Lion King,5.5254529391317835,7.413333193978522
Frozen 2,2019,$150 million,"$1,450,026,933",images\2019_Frozen_2.jpg,150.0,1450.026933,Frozen 2,5.017279836814924,7.280026814393521
Spider-Man: Far From Home,2019,$160 million,"$1,131,927,996",images\2019_Spider-Man:_Far_From_Home.jpg,160.0,1131.927996,Spider-Man: Far From Home,5.081404364984463,7.032560707375683
Captain Marvel,2019,$152-175 million,"$1,128,274,794",images\2019_Captain_Marvel.jpg,152.0,1128.274794,Captain Marvel,5.030437921392435,7.0293309304592775
Joker,2019,$55-70 million,"$1,078,751,311",images\2019_Joker.jpg,55.0,1078.751311,Joker,4.02535169073515,6.98448602601002
Star Wars: The Rise of Skywalker,2019,$416 million,"$1,074,144,248",images\2019_Star_Wars:_The_Rise_of_Skywalker.jpg,416.0,1074.144248,Star Wars: The Rise of Skywalker,6.0330862217988015,6.980210115745917
Toy Story 4,2019,$200 million,"$1,073,394,593",images\2019_Toy_Story_4.jpg,200.0,1073.394593,Toy Story 4,5.303304908059076,6.979512612620042
Aladdin,2019,$183 million,"$1,050,693,953",images\2019_Aladdin.jpg,183.0,1050.693953,Aladdin,5.214935757608986,6.9581574317709345
Jumanji: The Next Level,2019,$125-132 million,"$801,693,929",images\2019_Jumanji:_The_Next_Level.jpg,125.0,801.693929,Jumanji: The Next Level,4.836281906951478,6.6879734818848116
Demon Slayer The Movie: Mugen Train,2020,$15.7 million,"$507,127,293",images\2020_Demon_Slayer_The_Movie:_Mugen_Train.jpg,15.7,507.127293,Demon Slayer The Movie: Mugen Train,2.8154087194227095,6.23073199296102
The Eight Hundred,2020,$80 million,"$461,421,559",images\2020_The_Eight_Hundred.jpg,80.0,461.421559,The Eight Hundred,4.394449154672439,6.1364769404062445
Bad Boys for Life,2020,$90 million,"$426,505,244",images\2020_Bad_Boys_for_Life.jpg,90.0,426.505244,Bad Boys for Life,4.51085950651685,6.057966554968247
Tenet,2020,$205 million,"$365,304,105",images\2020_Tenet.jpg,205.0,365.304105,Tenet,5.327876168789581,5.9034638763831815
Sonic the Hedgehog,2020,$85-90 million,"$319,715,683",images\2020_Sonic_the_Hedgehog.jpg,85.0,319.715683,Sonic the Hedgehog,4.454347296253507,5.770555007904424
Dolittle,2020,$175-192.4 million,"$251,410,631",images\2020_Dolittle.jpg,175.0,251.410631,Dolittle,5.170483995038151,5.531057249431398
Shock Wave 2,2020,US$40 million,"$226,400,000",images\2020_Shock_Wave_2.jpg,40.0,226.4,Shock Wave 2,3.713572066704308,5.426710581316436
Spider-Man: No Way Home,2021,$200 million,"$1,912,233,593",images\2021_Spider-Man:_No_Way_Home.jpg,200.0,1912.233593,Spider-Man: No Way Home,5.303304908059076,7.556550070192658
The Battle at Lake Changjin,2021,US$200 million,"$909,596,236",images\2021_The_Battle_at_Lake_Changjin.jpg,200.0,909.596236,The Battle at Lake Changjin,5.303304908059076,6.8140995893538125
No Time to Die,2021,$250-301 million,"$774,253,007",images\2021_No_Time_to_Die.jpg,250.0,774.253007,No Time to Die,5.5254529391317835,6.653189436721827
F9,2021,$200-225 million,"$726,229,501",images\2021_F9.jpg,200.0,726.229501,F9,5.303304908059076,6.589242109972206
Detective Chinatown 3,2021,$117 million,"$686,257,563",images\2021_Detective_Chinatown_3.jpg,117.0,686.257563,Detective Chinatown 3,4.770684624465665,6.532709131713796
Venom: Let There Be Carnage,2021,$110 million,"$506,863,592",images\2021_Venom:_Let_There_Be_Carnage.jpg,110.0,506.863592,Venom: Let There Be Carnage,4.709530201312334,6.230212891835577
Godzilla vs. Kong,2021,$155-200 million,"$470,116,094",images\2021_Godzilla_vs._Kong.jpg,155.0,470.116094,Godzilla vs. Kong,5.049856007249537,6.155104547720642
Shang-Chi and the Legend of the Ten Rings,2021,$150-200 million,"$432,243,292",images\2021_Shang-Chi_and_the_Legend_of_the_Ten_Rings.jpg,150.0,432.243292,Shang-Chi and the Legend of the Ten Rings,5.017279836814924,6.071299445498357
Sing 2,2021,$85 million,"$408,588,111",images\2021_Sing_2.jpg,85.0,408.588111,Sing 2,4.454347296253507,6.015152047425133
Avatar: The Way of Water,2022,$350-460 million,"$2,320,250,281",images\2022_Avatar:_The_Way_of_Water.jpg,350.0,2320.250281,Avatar: The Way of Water,5.860786223465865,7.749861233722374
Top Gun: Maverick,2022,$170-177 million,"$1,496,696,292",images\2022_Top_Gun:_Maverick.jpg,170.0,1496.696292,Top Gun: Maverick,5.14166355650266,7.311683401199065
Jurassic World Dominion,2022,$185-465 million,"$1,003,700,664",images\2022_Jurassic_World_Dominion.jpg,185.0,1003.700664,Jurassic World Dominion,5.225746673713202,6.9124449293618495
Doctor Strange in the Multiverse of Madness,2022,$414.9 million  $350.6 million,"$955,775,804",images\2022_Doctor_Strange_in_the_Multiverse_of_Madness.jpg,382.75,955.775804,Doctor Strange in the Multiverse of Madness,5.9499912989014065,6.8635690944150705
Minions: The Rise of Gru,2022,$80-100 million,"$940,628,210",images\2022_Minions:_The_Rise_of_Gru.jpg,80.0,940.62821,Minions: The Rise of Gru,4.394449154672439,6.847610515140446
Black Panther: Wakanda Forever,2022,$200-250 million,"$859,208,836",images\2022_Black_Panther:_Wakanda_Forever.jpg,200.0,859.208836,Black Panther: Wakanda Forever,5.303304908059076,6.757175192326639
The Batman,2022,$185-200 million,"$772,245,583",images\2022_The_Batman.jpg,185.0,772.245583,The Batman,5.225746673713202,6.650596699295389
Thor: Love and Thunder,2022,$250 million,"$760,928,081",images\2022_Thor:_Love_and_Thunder.jpg,250.0,760.928081,Thor: Love and Thunder,5.5254529391317835,6.635852169342631
Puss in Boots: The Last Wish,2022,$90-110 million,"$485,261,639",images\2022_Puss_in_Boots:_The_Last_Wish.jpg,90.0,485.261639,Puss in Boots: The Last Wish,4.51085950651685,6.186746830892975
Barbie,2023,$128-145 million,"$1,446,938,421",images\2023_Barbie.jpg,128.0,1446.938421,Barbie,4.859812404361672,7.277896045107664
The Super Mario Bros. Movie,2023,$100 million,"$1,360,847,665",images\2023_The_Super_Mario_Bros._Movie.jpg,100.0,1360.847665,The Super Mario Bros. Movie,4.61512051684126,7.216597633904974
Oppenheimer,2023,$100 million,"$975,594,978",images\2023_Oppenheimer.jpg,100.0,975.594978,Oppenheimer,4.61512051684126,6.884072009283804
Guardians of the Galaxy Vol. 3,2023,$250 million,"$845,555,777",images\2023_Guardians_of_the_Galaxy_Vol._3.jpg,250.0,845.555777,Guardians of the Galaxy Vol. 3,5.5254529391317835,6.741176090719641
Fast X,2023,$378.8 million,"$704,875,015",images\2023_Fast_X.jpg,378.8,704.875015,Fast X,5.939644798378185,6.559438189243222
Spider-Man: Across the Spider-Verse,2023,$100-150 million,"$690,542,303",images\2023_Spider-Man:_Across_the_Spider-Verse.jpg,100.0,690.542303,Spider-Man: Across the Spider-Verse,4.61512051684126,6.538924324938645
Wonka,2023,$125 million,"$634,402,312",images\2023_Wonka.jpg,125.0,634.402312,Wonka,4.836281906951478,6.454258360481613
Mission: Impossible - Dead Reckoning Part One,2023,$291 million   $220 million,"$571,126,289",images\2023_Mission:_Impossible_–_Dead_Reckoning_Part_One.jpg,255.5,571.126289,Mission: Impossible - Dead Reckoning Part One,5.547128664610824,6.3493597519754195
Inside Out 2,2024,$200 million,"$1,698,863,816",images\2024_Inside_Out_2.jpg,200.0,1698.863816,Inside Out 2,5.303304908059076,7.438303418600177
Deadpool & Wolverine,2024,$200 million,"$1,338,073,645",images\2024_Deadpool_&_Wolverine.jpg,200.0,1338.073645,Deadpool & Wolverine,5.303304908059076,7.199733344178728
Moana 2,2024,$150 million,"$1,059,242,164",images\2024_Moana_2.jpg,150.0,1059.242164,Moana 2,5.017279836814924,6.96625261761765
Despicable Me 4,2024,$100 million,"$971,315,095",images\2024_Despicable_Me_4.jpg,100.0,971.315095,Despicable Me 4,4.61512051684126,6.87967992373881
Wicked,2024,$150 million,"$756,535,681",images\2024_Wicked.jpg,150.0,756.535681,Wicked,5.017279836814924,6.630070639904546
Mufasa: The Lion King,2024,$200 million,"$723,060,982",images\2024_Mufasa:_The_Lion_King.jpg,200.0,723.060982,Mufasa: The Lion King,5.303304908059076,6.584875618120398
Dune: Part Two,2024,$190 million,"$715,409,065",images\2024_Dune:_Part_Two.jpg,190.0,715.409065,Dune: Part Two,5.25227342804663,6.574251323652007
Godzilla x Kong: The New Empire,2024,$135-150 million,"$572,505,338",images\2024_Godzilla_x_Kong:_The_New_Empire.jpg,135.0,572.505338,Godzilla x Kong: The New Empire,4.912654885736052,6.3517672442854805
Kung Fu Panda 4,2024,$85 million,"$547,689,492",images\2024_Kung_Fu_Panda_4.jpg,85.0,547.689492,Kung Fu Panda 4,4.454347296253507,6.307532693161669
Sonic the Hedgehog 3,2024,$122 million,"$492,162,604",images\2024_Sonic_the_Hedgehog_3.jpg,122.0,492.162604,Sonic the Hedgehog 3,4.812184355372417,6.200838945220007
